station_id,brand_id,town,postcode,lat,lon
RO.1784.8,PETROM,Arad,310163,46.21531,21.29176
RO.1785.8,PETROM,Faget,305300,45.84946,22.16818
RO.1790.8,PETROM,Tulcea,820226,45.17541,28.75674
RO.1792.8,OMV,Constanta,900498,44.174,28.59484
RO.1793.8,PETROM,Com. Palazu Mare,900002,44.22347,28.59473
RO.1796.8,PETROM,Com. Gurasada,337245,45.94849,22.57643
RO.1798.8,PETROM,Craiova,200653,44.31311,23.78833
RO.1799.8,PETROM,Ramnicu Valcea,240636,45.13103,24.36375
RO.1827.8,PETROM,Nadlac,315500,46.16095,20.75946
RO.1856.8,OMV,Targoviste,130154,44.91236,25.47448
RO.1857.8,PETROM,Com. Simian,227445,44.587551,22.7378457
RO.1858.8,OMV,Reghin,545300,46.76696,24.68038
RO.1883.8,OMV,Com. Perisoru,917195,44.39866,27.45238
RO.1884.8,OMV,Com. Perisoru,917195,44.39815,27.45226
RO.1885.8,PETROM,A2 LEHLIU GARA,915300,44.42977,26.89571
RO.1886.8,PETROM,A2 LEHLIU GARA,915300,44.42891,26.89478
RO.1887.8,OMV,Alba Iulia,510065,46.07919,23.56441
RO.1888.8,OMV,Arad,310150,46.18535,21.31599
RO.1890.8,OMV,"Com. Vanatorii Mici, Sat IZVORU",087250,44.53306,25.53255
RO.1891.8,OMV,Bacau,600220,46.57443,26.90117
RO.1892.8,OMV,Baia Mare,430071,47.65472,23.53069
RO.1893.8,PETROM,Baia Mare,430122,47.65998,23.56647
RO.1894.8,OMV,Bistrita,420096,47.14168,24.50705
RO.1895.8,PETROM,Botosani,710012,47.75293,26.6405
RO.1896.8,OMV,Braila,810322,45.241,27.93146
RO.1897.8,OMV,Brasov,500053,45.66053,25.56943
RO.1898.8,OMV,Brasov,500203,45.65998,25.61576
RO.1899.8,OMV,Brasov,500173,45.65119,25.60386
RO.1900.8,OMV,Bucuresti,014286,44.49218,26.08754
RO.1901.8,OMV,Bucuresti,051542,44.40085,26.05079
RO.1902.8,OMV,Bucuresti,041312,44.40239,26.09777
RO.1903.8,OMV,Bucuresti,041902,44.38993,26.12464
RO.1904.8,OMV,Bucuresti,012358,44.49434,26.03144
RO.1905.8,OMV,Bucuresti,030606,44.43135,26.11016
RO.1906.8,OMV,Bucuresti,021197,44.47787,26.16408
RO.1907.8,OMV,Bucuresti,040514,44.42023,26.08844
RO.1908.8,OMV,Bucuresti,021901,44.44293,26.15091
RO.1909.8,OMV,Bucuresti,010751,44.4469,26.07625
RO.1910.8,OMV,Bucuresti,040667,44.37265,26.09031
RO.1911.8,OMV,Bucuresti,023721,44.45555,26.1208
RO.1912.8,OMV,Bucuresti,061342,44.43838,26.05665
RO.1913.8,OMV,Voluntari,077190,44.49314,26.12659
RO.1914.8,OMV,Bucuresti,050912,44.41439,26.07554
RO.1915.8,OMV,Bucuresti,061333,44.42527,26.01369
RO.1916.8,PETROM,Buzau,120164,45.15565,26.81854
RO.1917.8,OMV,Buzau,120020,45.16964,26.81997
RO.1918.8,OMV,Calimanesti,245600,45.27749,24.30704
RO.1919.8,OMV,"Sat Luna de Sus, Com. Floresti",407280,46.75056,23.43075
RO.1920.8,OMV,Cluj Napoca,400509,46.75865,23.54962
RO.1921.8,OMV,Cluj Napoca,400609,46.77801,23.61535
RO.1922.8,OMV,Cluj Napoca,400495,46.7446,23.59162
RO.1923.8,PETROM,Cluj Napoca,400396,46.78079,23.67193
RO.1924.8,OMV,Constanta,900075,44.16187,28.60383
RO.1925.8,OMV,Constanta,900514,44.20301,28.62302
RO.1926.8,OMV,Craiova,200188,44.32835,23.7763
RO.1927.8,OMV,Craiova,200446,44.31399,23.83081
RO.1928.8,OMV,Dej,405200,47.11665,23.89376
RO.1929.8,OMV,Deva,330182,45.87548,22.91574
RO.1930.8,OMV,Drobeta Turnu Severin,220056,44.63978,22.66369
RO.1931.8,OMV,Galati,800259,45.41668,28.00555
RO.1932.8,OMV,Hunedoara,331023,45.76269,22.90247
RO.1933.8,OMV,Iasi,700733,47.14054,27.57916
RO.1934.8,OMV,Iasi,700547,47.17386,27.53844
RO.1935.8,OMV,Lugoj,305500,45.69768,21.89718
RO.1936.8,OMV,Oradea,410277,47.06995,21.90332
RO.1937.8,OMV,Oradea,410214,47.0592,21.91723
RO.1938.8,OMV,Petrosani,332058,45.3908,23.37338
RO.1939.8,OMV,Piatra Neamt,610249,46.93778,26.38889
RO.1940.8,OMV,Pitesti,110133,44.86736,24.884
RO.1941.8,OMV,Pitesti,110181,44.82527,24.91514
RO.1942.8,OMV,Ploiesti,100072,44.95813,25.9865
RO.1943.8,OMV,Ploiesti,100238,44.92884,25.99192
RO.1944.8,PETROM,Ramnicu Valcea,240011,45.08709,24.35854
RO.1945.8,OMV,Ramnicu Valcea,240227,45.11584,24.36367
