station_id,country_iso,town,postcode,lat,lon,fuel,price_eur,raw_line,ocr_text_path,response_path,scraped_at
AT.9519.8,AUT,Hirtenberg,2552,47.93151,16.19569,MaxxMotion Super 100plus,1.749,MaxxMotion Super 100plus 1.749 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9519.8_2025-09-10_09-32-09.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9519.8_2025-09-10_09-32-09.json,2025-09-09T23:32:10Z
AT.9519.8,AUT,Hirtenberg,2552,47.93151,16.19569,MaxxMotion Diesel,1.779,MaxxMotion Diesel 1.779 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9519.8_2025-09-10_09-32-09.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9519.8_2025-09-10_09-32-09.json,2025-09-09T23:32:10Z
AT.9531.8,AUT,Eisenstadt,7000,47.83317,16.52318,DIESEL,1.499,DIESEL 1.499 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9531.8_2025-09-10_09-32-10.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9531.8_2025-09-10_09-32-10.json,2025-09-09T23:32:10Z
AT.9531.8,AUT,Eisenstadt,7000,47.83317,16.52318,SUPER 95,1.489,SUPER 95 1.489 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9531.8_2025-09-10_09-32-10.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9531.8_2025-09-10_09-32-10.json,2025-09-09T23:32:10Z
AT.9531.8,AUT,Eisenstadt,7000,47.83317,16.52318,MaxxMotion Super 100plus,1.749,MaxxMotion Super 100plus 1.749 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9531.8_2025-09-10_09-32-10.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9531.8_2025-09-10_09-32-10.json,2025-09-09T23:32:10Z
AT.9531.8,AUT,Eisenstadt,7000,47.83317,16.52318,MaxxMotion Diesel,1.759,MaxxMotion Diesel 1.759 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9531.8_2025-09-10_09-32-10.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9531.8_2025-09-10_09-32-10.json,2025-09-09T23:32:10Z
AT.9532.8,AUT,Kottingbrunn,2542,47.9493,16.22221,DIESEL,1.569,DIESEL 1.569 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9532.8_2025-09-10_09-32-11.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9532.8_2025-09-10_09-32-11.json,2025-09-09T23:32:11Z
AT.9532.8,AUT,Kottingbrunn,2542,47.9493,16.22221,SUPER 95,1.559,SUPER 95 1.559 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9532.8_2025-09-10_09-32-11.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9532.8_2025-09-10_09-32-11.json,2025-09-09T23:32:11Z
AT.9532.8,AUT,Kottingbrunn,2542,47.9493,16.22221,MaxxMotion Super 100plus,1.819,MaxxMotion Super 100plus 1.819 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9532.8_2025-09-10_09-32-11.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9532.8_2025-09-10_09-32-11.json,2025-09-09T23:32:11Z
AT.9532.8,AUT,Kottingbrunn,2542,47.9493,16.22221,MaxxMotion Diesel,1.829,MaxxMotion Diesel 1.829 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9532.8_2025-09-10_09-32-11.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9532.8_2025-09-10_09-32-11.json,2025-09-09T23:32:11Z
