"unique_coord_key","lat_rounded","lon_rounded","source_count","sources","station_ids","station_names"
"46.6254997253418,14.302300453186",46.6254997253418,14.302300453186,2,"ARBÖ;ÖAMTC","INFT-C92SS5;1211097","Turm<U+00F6>l;Turm<U+00F6>l"
"46.6254997253418,14.3404998779297",46.6254997253418,14.3404998779297,1,"ARBÖ","INFT-C92SS4","Turm<U+00F6>l"
"46.6259002685547,13.8754997253418",46.6259002685547,13.8754997253418,1,"ARBÖ","INFT-AJKBDV","SOCAR Landskron"
"46.6267013549805,14.2080001831055",46.6267013549805,14.2080001831055,1,"ARBÖ","INFT-AJKHQN","SOCAR Krumpendorf"
"46.6273994445801,13.2541999816895",46.6273994445801,13.2541999816895,1,"ARBÖ","INFT-AZ8HFU","BP Tankstelle Brandner KG"
"46.6276016235352,13.8801002502441",46.6276016235352,13.8801002502441,1,"ARBÖ","INFT-AJKHSL","Lagerh"
"46.6283988952637,13.2524003982544",46.6283988952637,13.2524003982544,2,"ARBÖ;ÖAMTC","INFT-AJJKS9;1201506","eni/Zankl GmbH;Eni"
"46.6287002563477,13.3779001235962",46.6287002563477,13.3779001235962,1,"ARBÖ","INFT-AJJKSC","Genol"
"46.6287002563477,13.4751996994019",46.6287002563477,13.4751996994019,1,"ARBÖ","INFT-CCAJSG","eni"
"46.6291999816895,14.4134998321533",46.6291999816895,14.4134998321533,2,"ARBÖ;ÖAMTC","INFT-AJKHQL;1140335","SOCAR Grafenstein;SOCAR"
"46.6296005249023,13.3788003921509",46.6296005249023,13.3788003921509,1,"ARBÖ","INFT-AJJKSA","OMV - Hermagor Gailtalstra<U+00DF>e 12"
"46.6301002502441,14.3563003540039",46.6301002502441,14.3563003540039,2,"ARBÖ;ÖAMTC","INFT-C89KHU;1211069","Rumpold;Rumpold"
"46.630199432373,14.0942001342773",46.630199432373,14.0942001342773,1,"ARBÖ","INFT-CGH26A","eni"
"46.6315002441406,13.8246002197266",46.6315002441406,13.8246002197266,2,"ARBÖ;JET","INFT-ATSHYE;e2cdf3cd36","JET TANKSTELLE;JET Tankstelle"
"46.6315994262695,13.8263998031616",46.6315994262695,13.8263998031616,1,"ARBÖ","INFT-CCRE4G","Diskont Tankstelle"
"46.6319999694824,13.8241996765137",46.6319999694824,13.8241996765137,1,"ARBÖ","INFT-CCC7SA","eni"
"46.6344985961914,14.6329002380371",46.6344985961914,14.6329002380371,1,"ARBÖ","INFT-CRRCEM","unisprit<U+00AE>"
"46.6348991394043,14.3706998825073",46.6348991394043,14.3706998825073,3,"ARBÖ;ÖAMTC;JET","INFT-ATSHX2;1099198;8f58fb68e4","JET TANKSTELLE;JET;JET Tankstelle"
"46.635799407959,14.5411996841431",46.635799407959,14.5411996841431,1,"ARBÖ","INFT-B26EGG","Supantschitsch Anna-Carina Turm<U+00F6>l Tankstelle"
"46.6358985900879,14.3118000030518",46.6358985900879,14.3118000030518,1,"ARBÖ","INFT-CCXMLF","eni"
"46.6358985900879,14.3126001358032",46.6358985900879,14.3126001358032,1,"ARBÖ","INFT-AJMGD8","SOCAR Klagenfurt-St.Veiter-Stra<U+00DF>e"
"46.6363983154297,13.8145999908447",46.6363983154297,13.8145999908447,1,"ARBÖ","INFT-AYTHWF","Diskont Tankstelle Langauen "
"46.6366996765137,14.1371002197266",46.6366996765137,14.1371002197266,1,"ARBÖ","INFT-AS8L5X","OMV - P<U+00F6>rtschach Hauptstra<U+00DF>e 232"
"46.6372985839844,14.3311996459961",46.6372985839844,14.3311996459961,2,"ARBÖ;ÖAMTC","INFT-DHDERH;1214116","M3 Tankstelle mit WASCHCENTER ;M3 WASCHCENTER"
"46.6374015808105,14.3311996459961",46.6374015808105,14.3311996459961,2,"ARBÖ;ÖAMTC","INFT-C7XHTJ;1211053","Rumpold;Rumpold"
"46.6379013061523,14.3332004547119",46.6379013061523,14.3332004547119,2,"ARBÖ;ÖAMTC","INFT-AJKHQH;1160056","SOCAR Klagenfurt-Pischeldorferstra<U+00DF>e;SOCAR"
"46.6379013061523,14.3708000183105",46.6379013061523,14.3708000183105,1,"ARBÖ","INFT-AJJKRK","avanti - Klagenfurt G<U+00F6>rtschitztal Stra<U+00DF>e 22"
"46.6395988464355,14.4509000778198",46.6395988464355,14.4509000778198,1,"ARBÖ","INFT-AP8FKB","OMV - Grafenstein Dolina 36"
"46.6404991149902,14.291600227356",46.6404991149902,14.291600227356,2,"ARBÖ;JET","INFT-ATSHWZ;e7ca0c90fc","JET TANKSTELLE;JET Tankstelle"
"46.6408004760742,14.9474000930786",46.6408004760742,14.9474000930786,2,"ARBÖ;ÖAMTC","INFT-AJRG7N;1201616","Lagerhaus;Lagerhaus"
"46.6412010192871,14.4496002197266",46.6412010192871,14.4496002197266,2,"ARBÖ;ÖAMTC","INFT-CGGDB9;1210797","TurboSprit<U+00AE>;TurboSprit<U+00AE>"
"46.6426010131836,13.1795997619629",46.6426010131836,13.1795997619629,1,"ARBÖ","INFT-CNGCNU","SOCAR Schwarz - Kirchbach im Gailtal"
"46.6441993713379,14.3149995803833",46.6441993713379,14.3149995803833,1,"ARBÖ","INFT-CCXMLE","eni"
"46.649299621582,14.2843999862671",46.649299621582,14.2843999862671,1,"ARBÖ","INFT-CCLG23","Diskont Tankstelle"
"46.6514015197754,13.874400138855",46.6514015197754,13.874400138855,1,"ARBÖ","INFT-CCRE4J","Diskont Tankstelle"
"46.6531982421875,14.3134002685547",46.6531982421875,14.3134002685547,2,"ARBÖ;ÖAMTC","INFT-C9BBGS;1211093","Turm<U+00F6>l;Turm<U+00F6>l"
